date;room;start_time;end_time;topic;teacher;assistant;link_slide;link_lab;link_room
08/09/2021;Online;09:00;09:15;Welcome;LM;;Intro_of_NBIS.pdf;;https://lu-se.zoom.us/j/9343880250
;;09:15;10:00;R Introduction lecture;LM;;slide_r_intro.html;;
;;10:00;10:20;Coffee Break;;;;;
;;10:20;11:30;R Introduction Lab;LM;MR,LV;slide_overview_r.html;lab_r.html;
;;11:30;12:00;Lecture on grammar, geoms, colors and aesthetics;LM;;slide_gg1.html;;
;;12:00;13:00;Lunch;;;;;
;;13:00;13:50;Lab on grammar, geoms, colors and aesthetics;LV;MR,LM;;lab_gg1.html;
;;13:50;14:10;Lecture on facets, barplots and errorbars;LM;;;;
;;14:10;15:00;Lab on facets, barplots and errorbars;LV;MR,LM;;;
;;15:00;15:20;Coffee Break;;;;;
;;15:20;15:40;Lecture on axes, labels, legends and themes;LM;;;;
;;15:40;17:00;Lab on axes, labels, legends and themes;LM;MR,LV;;;
09/09/2021;Online;09:00;09:15;Vector and bitmap images;MR;;Vector_Bitmap_Images.pdf;;https://lu-se.zoom.us/j/9343880250
;;09:30;10:00;Lab on combining plots;LM;MR,LV;;;
;;10:00;10:20;Coffee Break;;;;;
;;10:20;10:40;Lecture on making PCA, heatmaps and others;MR;LM,LV;;;
;;10:40;12:00;Lab on making PCA, heatmaps and others;MR;LM,LV;;;
;;12:00;13:00;Lunch;;;;;
;;13:00;14:00;Lab on phylogenetic tree (optional);LM;MR,LV;;;
;;14:00;15:00;Lab on using maps on plots (optional);LM;MR,LV;;;
;;15:00;15:20;Coffee Break;;;;;
;;15:20;16:40;Bring your own problem;LM,MR,LV;Everyone;;;
;;16:40;17:00;Closing and feedback session;LM,MR,LV;Everyone;;;